population_size: 100
selection_size: 50
mutation_rate: 0.01
crossover_rate: 0.3
crossover_points: 3
generations: 10
battle_participants: 4
elite_num: 1
generation,accuracy
0,0.579200029373169
1,0.579200029373169
2,0.579200029373169
3,0.5819000005722046
4,0.5819000005722046
5,0.5819000005722046
6,0.5819000005722046
7,0.5819000005722046
8,0.5819000005722046
9,0.5819000005722046
