population_size: 50
selection_size: 50
mutation_rate: 0.01
crossover_rate: 0.3
crossover_points: 3
generations: 50
battle_participants: 2
elite_num: 0

generation,accuracy
0,0.5956000089645386
1,0.5956000089645386
2,0.5956000089645386
3,0.5956000089645386
4,0.5956000089645386
5,0.5956000089645386
6,0.5956000089645386
7,0.5956000089645386
8,0.5956000089645386
9,0.5956000089645386
10,0.5956000089645386
11,0.5956000089645386
12,0.5956000089645386
13,0.5956000089645386
14,0.5956000089645386
15,0.5956000089645386
16,0.5956000089645386
17,0.5956000089645386
18,0.5956000089645386
19,0.5956000089645386
20,0.5956000089645386
21,0.5956000089645386
22,0.5956000089645386
23,0.5956000089645386
24,0.5956000089645386
25,0.5956000089645386
26,0.5956000089645386
27,0.5956000089645386
28,0.5956000089645386
29,0.5956000089645386
30,0.5956000089645386
31,0.5956000089645386
32,0.5956000089645386
33,0.5956000089645386
34,0.5956000089645386
35,0.5956000089645386
36,0.5956000089645386
37,0.5956000089645386
38,0.5956000089645386
39,0.5956000089645386
40,0.5956000089645386
41,0.5956000089645386
42,0.5956000089645386
43,0.5956000089645386
44,0.5956000089645386
45,0.5956000089645386
46,0.5956000089645386
47,0.5956000089645386
48,0.5956000089645386
49,0.5956000089645386
