Hyper parameters,Value
population_size 100
selection_size 50
mutation_rate 0.01
crossover_rate 0.3
crossover_points 3
generations 100
battle_participants 4
elite_num 1

generation,accuracy
0,0.6298999786376953
1,0.6194999814033508
2,0.5968999862670898
3,0.576200008392334
4,0.5685999989509583
5,0.5655999779701233
6,0.5573999881744385
