population_size: 100
selection_size: 50
mutation_rate: 0.01
crossover_rate: 0.3
crossover_points: 3
generations: 100
battle_participants: 4
elite_num: 1

generation,accuracy
0,0.5791000127792358
1,0.5791000127792358
2,0.5830000042915344
3,0.5830000042915344
4,0.5830000042915344
5,0.5921000242233276
6,0.5921000242233276
7,0.5921000242233276
8,0.5921000242233276
9,0.5921000242233276
10,0.5921000242233276
11,0.5921000242233276
12,0.5921000242233276
13,0.5921000242233276
14,0.5921000242233276
15,0.5921000242233276
16,0.5921000242233276
17,0.5921000242233276
18,0.5921000242233276
19,0.5921000242233276
20,0.5921000242233276
21,0.5921000242233276
22,0.5921000242233276
23,0.5921000242233276
24,0.5921000242233276
25,0.5921000242233276
26,0.5921000242233276
27,0.5921000242233276
28,0.5921000242233276
29,0.5921000242233276
30,0.5921000242233276
31,0.5921000242233276
32,0.5921000242233276
33,0.5921000242233276
34,0.5921000242233276
35,0.5921000242233276
36,0.5921000242233276
37,0.5921000242233276
38,0.5921000242233276
39,0.5921000242233276
40,0.5921000242233276
41,0.5921000242233276
42,0.5921000242233276
43,0.5921000242233276
44,0.5921000242233276
45,0.5921000242233276
46,0.5921000242233276
47,0.5921000242233276
48,0.5921000242233276
49,0.5921000242233276
50,0.5921000242233276
51,0.5921000242233276
52,0.5921000242233276
53,0.5921000242233276
54,0.5921000242233276
55,0.5921000242233276
56,0.5921000242233276
57,0.5921000242233276
58,0.5921000242233276
59,0.5921000242233276
60,0.5921000242233276
61,0.5921000242233276
62,0.5921000242233276
63,0.5921000242233276
64,0.5921000242233276
65,0.5921000242233276
66,0.5921000242233276
67,0.5921000242233276
68,0.5921000242233276
69,0.5921000242233276
70,0.5921000242233276
71,0.5921000242233276
72,0.5921000242233276
73,0.5921000242233276
74,0.5921000242233276
75,0.5921000242233276
76,0.5921000242233276
77,0.5921000242233276
78,0.5921000242233276
79,0.5921000242233276
80,0.5921000242233276
81,0.5921000242233276
82,0.5921000242233276
83,0.5921000242233276
84,0.5921000242233276
85,0.5921000242233276
86,0.5921000242233276
87,0.5921000242233276
88,0.5921000242233276
89,0.5921000242233276
90,0.5921000242233276
91,0.5921000242233276
92,0.5921000242233276
93,0.5921000242233276
94,0.5921000242233276
95,0.5921000242233276
96,0.5921000242233276
97,0.5921000242233276
98,0.5921000242233276
99,0.5921000242233276
